university,country,example_url
Ahi Evran University,Turkiye,https://unis.ahievran.edu.tr/yayin-detay/2_DJ4sDm_86/yeni-baslayanlar-icin-kotlin-ile-android-programlama
Bilecik University,Turkiye,https://ebs.bilecik.edu.tr/pdf/dersbilgigetir/348030
Karadeniz Technical University,Turkiye,https://katalog.ktu.edu.tr/dersbilgipaketi/course.aspx?pid=1440&lang=1&dbid=669533
Okan University,Turkiye,https://ois.okan.edu.tr/bilgipaketi/index/ders/ders_id/20769/program_kodu/0702001/h/28792/s/8/st/D/ln/en
Ufuk University,Turkiye,https://bipa.ufuk.edu.tr/anasayfa/akademik-programlar/on-lisans/meslek-yuksekokulu/bilgisayar-programciligi/myp242/
Babson College,United States,https://career.babson.edu/jobs/capgemini-america-inc-junior-mobile-application-developer
Baker College,United States,https://www.baker.edu/about/get-to-know-us/blog/top-careers-for-web-and-app-development-graduates
Bowie State University,United States,https://bowiestate.edu/academics/colleges/college-of-arts-and-sciences/departments/computer-science/resources-for-students/upcoming-events.php
Brown University,United States,https://cs.brown.edu/people/ilkhechi/cv.pdf
Calvin College,United States,https://career.calvin.edu/jobs/temple-allen-industries-entry-level-full-stack-developer
Champlain College,United States,https://online.champlain.edu/blog/programming-languages-to-learn-for-software-developers
Colby College,United States,https://cs.colby.edu/courses/S26/cs333/notes/CourseOverview.pdf
Colorado Community College System,United States,https://skillsinstitute.cccs.edu/courses/android-developer-career-academy/
Dallas College,United States,https://schedule.dallascollege.edu/Fall/INET/Prefix/ITSE
Evergreen State College,United States,https://www.evergreen.edu/catalog/offering/distributed-game-playing-in-java-i-51848
Florida Gulf Coast University,United States,https://careerservices.fgcu.edu/classes/kotlin-multiplatform-libraries/
Fordham University,United States,https://www.fordham.edu/gabelli-school-of-business/academic-programs-and-admissions/graduate-programs/academic-programs/ms-programs/information-technology/information-technology-alumni-success/
Fort Hays State University,United States,https://www.fhsu.edu/programs/web-mobile-application-development/
Full Sail University,United States,https://hub.fullsail.edu/articles/beyond-phones-programming-for-wearables-and-more-with-mobile-development
Georgia Gwinnett College,United States,https://www.smcrae2.domains.ggc.edu/index.html
International Technological University,United States,https://learnmore.itu.edu/display?FilesData=Glencoe_Life_Iscience_Modules_From_Bacteria_To_Plants_Grade_6_Student_Edition_Glen_Sci_From_Bacteria_To_Plt.pdf&docid=D44k910
James Madison University,United States,https://search.lib.jmu.edu/discovery/fulldisplay/alma991016563615006271/01JMU_INST:01JMU
Kean College,United States,https://career.kean.edu/classes/kotlin-multiplatform-libraries/
Loyola Marymount University,United States,https://cs.lmu.edu/~ray/notes/plstudy
Lynchburg College,United States,https://meehean.lynchburg.edu/student-faculty-projects
Monmouth University,United States,https://catalog.monmouth.edu/undergraduate-catalog/undergraduate-course-descriptions/cs
Morehouse,United States,https://careerdevelopment.morehouse.edu/experiences/software-engineering/
NHTI-Concord's Community College,United States,https://catalog.nhti.edu/information-technology/ist218c
New England Institute of Technology,United States,https://catalog.neit.edu/course-descriptions/se/
New Mexico State University,United States,https://catalogs.nmsu.edu/dona-ana/academic-career-programs/computer-information-technology
Otterbein College,United States,http://faculty.otterbein.edu/dstucki/COMP4210/Assign2.pdf
Pace University,United States,https://online.pace.edu/articles/computer-science/what-can-you-do-with-masters-computer-science
Pacific University,United States,https://zeus.cs.pacificu.edu/ryand/cs260/2020/Lectures/01.JDKIntro.IP.pdf
Princeton University,United States,https://coursera.cs.princeton.edu/introcs/assignments/barchart/specification.php
Southern New Hampshire University,United States,https://career360.snhu.edu/jobs/capgemini-america-inc-junior-mobile-application-developer
Southern Utah University,United States,https://my.suu.edu/syllabus/202610/CS-4300-30R/
Spokane Community College,United States,https://scc.spokane.edu/What-to-Study/STEM/Software-Development
Texas Christian University,United States,https://cse.tcu.edu/computer-science/files/syllabi/COSC40043.pdf
Texas Southern University,United States,https://cpc.tsu.edu/classes/kotlin-multiplatform-development/
Trinity College (CT),United States,https://internet3.trincoll.edu/FacProfiles/Default.aspx?fid=1000576
"University of California, Riverside",United States,https://search.library.ucr.edu/discovery/fulldisplay?docid=alma9914826952106531&context=L&vid=01CDL_RIV_INST:UCR&lang=en&adaptor=Local%20Search%20Engine&tab=Everything&query=sub%2Cexact%2CMobile%20apps%20--%20Programming%2CAND&mode=advanced&offset=0
University of Delaware,United States,https://www.eecis.udel.edu/~mlm/docs/2025-Aiyagari-AAAI-25-AnOverviewOfTheNaturalLanguageInteractionProtocol-Workshop.pdf
