source,category,signal_tier,learning_type,title,provider,country,language,subtype,popularity,kotlin_confidence,url
university_website,university_page,primary,formal,Programación con Kotlin | Departamento de Posgrado y Educación ...,Universidad Nacional de Ingenieria,Nicaragua,,,,0.8,https://posgrado.uni.edu.ni/cursos-de-especializacion/computacion-y-sistemas/programacion-con-kotlin/
university_website,university_page,primary,formal,Kotlin Language for Java Developers – Benson Idahosa University,Benson Idahosa University,Nigeria,,,,0.8,https://biu.edu.ng/courses/kotlin-for-java-developers/
university_website,university_page,primary,formal,Kotlin Language for Java Developers - Civil Engineering,Obafemi Awolowo University Ile-Ife,Nigeria,,,,0.8,https://cve.oauife.edu.ng/courses/kotlin-for-java-developers/
university_website,university_page,primary,formal,Kotlin Language for Java Developers → Version Control – Part 11,Obafemi Awolowo University Ile-Ife,Nigeria,,,,0.8,https://accounting.oauife.edu.ng/courses/kotlin-for-java-developers/lessons/version-control-part-11/
university_website,university_page,primary,formal,[PDF] Programming Ubiquitous Things - UiO,University of Oslo,Norway,,document,,0.8,https://www.uio.no/studier/emner/matnat/ifi/IN5600/v25/lab-classes/lab3-kotlin-coroutines.pdf
university_website,university_page,primary,formal,Android App – DIHE - Dadabhoy Institute of Higher Education,Dadabhoy Institute of Higher Education,Pakistan,,,,0.8,https://dadabhoy.edu.pk/course-category/android-app/?tutor-course-filter-category=78
university_website,university_page,primary,formal,BS Computer Science - Ziauddin University,Zia-ud-Din University,Pakistan,,,,0.8,https://zu.edu.pk/faculty-of-engineering-science-technology-management/college-of-computing-and-software-engineering/department-of-computer-science/bs-computer-science/
university_website,university_page,primary,formal,[PDF] Kotlin In Action Second Edition - UNAP,Universidad Nacional del Altiplano,Peru,,document,,0.8,https://ocni.unap.edu.pe/fetch.php/A11OYM/998698/Kotlin%20In%20Action%20Second%20Edition.pdf
university_website,university_page,primary,formal,[PDF] Kotlin Design Patterns And Best Practices - ocni.unap.edu.pe,Universidad Nacional del Altiplano,Peru,,document,,0.8,https://ocni.unap.edu.pe/Download_PDFS/A114K7/997408/Kotlin%20Design%20Patterns%20And%20Best%20Practices.pdf
university_website,university_page,primary,formal,Programming in Kotlin - University of Warsaw,University of Warsaw,Poland,,,,0.8,https://informatorects.uw.edu.pl/en/courses/view?prz_kod=1000-2M24KOT
university_website,university_page,primary,formal,Android Training Program — ISPGAYA,Instituto Superior Politécnico Gaya,Portugal,,,,0.8,https://ispgaya.pt/en/vida-academica/eventos/android-training-program
university_website,university_page,primary,formal,Events - ISPGAYA,Instituto Superior Politécnico Gaya,Portugal,,,,0.8,https://ispgaya.pt/en/vida-academica/eventos?page=15
university_website,university_page,primary,formal,Class Programming Mobile Devices - Lisboa - Universidade Lusófona,Universidade Lusófona de Humanidades e Technologias,Portugal,,,,0.8,https://www.ulusofona.pt/en/lisboa/bachelor/it-engineering/ULP452-15892
university_website,university_page,primary,formal,[PDF] Разработка мобильных приложений,Bauman Moscow State Technical University,Russia,,document,,0.8,https://mf.bmstu.ru/sveden/files/eiw/Razrabotka_mobilynyx_priloghenii(1).pdf
university_website,university_page,primary,formal,"Programming languages (Kotlin and Scala, functional programming ...",Higher School of Economics,Russia,,,,0.8,https://www.hse.ru/en/edu/courses/929563078
university_website,university_page,primary,formal,"Research Seminar ""Introduction to Android Development with Kotlin""",Higher School of Economics,Russia,,,,0.8,https://www.hse.ru/en/edu/courses/1048891092
university_website,university_page,primary,formal,Mobile Development with Kotlin 2 – HSE University Course Catalogue,Higher School of Economics,Russia,,,,0.8,https://www.hse.ru/en/edu/courses/939801510
university_website,university_page,primary,formal,Education programs | MIPT,Moscow Institute of Physics and Technology,Russia,,,,0.8,https://eng.mipt.ru/programs/scientific-software-and-data-analysis-in-non-accelerator-particle-physics/
university_website,university_page,primary,formal,Основы разработки серверных приложений на java/kotlin с ...,"Moscow State Institute of Radiotechnics, Electronics and Automation (Technical University)",Russia,,,,0.8,https://www.mirea.ru/news/v-rtu-mirea-sostoyalsya-master-klass-osnovy-razrabotki-servernykh-prilozheniy-na-java-kotlin-s-ispol/
university_website,university_page,primary,formal,Мобильная разработка для Android на Kotlin (часть 1),"Moscow State Institute of Radiotechnics, Electronics and Automation (Technical University)",Russia,,,,0.8,https://online-dpo.mirea.ru/course/view.php?id=154
university_website,university_page,primary,formal,core/coil/src/commonMain/kotlin/ru/sulgik/core/coil/platformModule ...,Novosibirsk State Technical University,Russia,,,,0.8,https://gitlab.cloud.nstu.ru/my-street/my-street-client/-/blob/fix-map-not-interactable-on-category-selector/core/coil/src/commonMain/kotlin/ru/sulgik/core/coil/platformModule.kt
university_website,university_page,primary,formal,Интернет-гигант Google сделал новый язык программирования ...,St. Petersburg State Polytechnical University,Russia,,,,0.8,https://iccs.spbstu.ru/news/internet_gigant_google_sdelal_novuy_yazuk_programmirovaniya_kotlin_odnim_iz_osnovnuh_yazukov/
university_website,university_page,primary,formal,Оптимизация совместной компиляции программ на языках Java и ...,St. Petersburg State Polytechnical University,Russia,,document,,0.8,https://elib.spbstu.ru/dl/2/v17-4104.pdf
university_website,university_page,primary,formal,[PDF] обучение языку программирования Kotlin в Политехе,St. Petersburg State Polytechnical University,Russia,,document,,0.8,https://www.spbstu.ru/pdf_news/view/advanced-training-learning-language-programming-kotlin.pdf
university_website,university_page,primary,formal,[PDF] Kotlin Programming Cookbook Explore More Than 100 Recipes ...,Université Cheikh Anta Diop,Senegal,,document,,0.8,https://homecoming.ucad.sn/book/141027/2299G5M/kotlin_programming-cookbook__explore-more__than-100__recipes_that-show__how__to__build__robust-le_and_web_applications__with__kotlin__spring-boot-and-android.pdf
university_website,university_page,primary,formal,[PDF] Kotlin For Android Developers Learn Kotlin The Easy Way While ...,Université Cheikh Anta Diop,Senegal,,document,,0.8,https://homecoming.ucad.sn/ppt/ej/69310EJ/kotlin_for-android-developers__learn__kotlin_the__easy__way__while-developing_an-android__app.pdf
university_website,university_page,primary,formal,NUS Certificate in Digital Solutions Development – Mobile ...,National University of Singapore,Singapore,,,,0.8,https://www.iss.nus.edu.sg/executive-education/course/detail/nus-certificate-in-digital-solutions-development---mobile-applications/software-systems
university_website,university_page,primary,formal,ProMob: Kotlin - VirtualUMB,Matej Bel University in Banská Bystrica,Slovakia,,,,0.8,https://lms.umb.sk/mod/resource/view.php?id=123043&forceview=1
university_website,university_page,primary,formal,Vývoj mobilných aplikácií,Comenius University in Bratislava,Slovakia,,,,0.8,https://dai.fmph.uniba.sk/courses/VMA/
university_website,university_page,primary,formal,[PDF] Kotlin,Comenius University in Bratislava,Slovakia,,document,,0.8,https://dai.fmph.uniba.sk/courses/PARA/Prednasky/Kotlin.pdf
university_website,university_page,primary,formal,Advanced Kotlin Programming - Universidad Jaén,Universidad de Jaén,Spain,,,,0.8,https://buscaenbuja.ujaen.es/discovery/fulldisplay?vid=34CBUA_UJA%3AVU1&tab=Jaen&docid=alma991004057165004994&lang=es&context=L&adaptor=Local%20Search%20Engine&offset=0
university_website,university_page,primary,formal,Network and Internet applications - Campus UOC,Universitat Oberta de Catalunya,Spain,,,,0.8,https://campus.uoc.edu/tren/trenacc/web/GAT_EXP.PLANDOCENTE?any_academico=20221&cod_asignatura=22.603&idioma=ANG&pagina=PD_PREV_PORTAL
university_website,university_page,primary,formal,[PDF] COURSE DESCRIPTION 2025-2026 - UPV,Universidad Politécnica de Valencia,Spain,,document,,0.8,https://www.upv.es/reports/rwservlet?g_doc+p_rep=049sZTu1iw8Cidb2Lya966Rr0UkvYsYo_vqIhNp%3DXaBZFazPoijJEkF1RPmlpywGCU9CCJNUpt0KppL2EIASzumzVJ_spqtNaze4wglU10oWA3L_pU%3A4G5LS8%3AEZBE9ir6475qbyfg6OMdmh4CRXj%3AtlqnA%3AwoNp530ZWip5w5LJ6S6LckckkT_52TEElfG0GPa1cIv%3Dmhh3dfm5Cr%3A4bKbRaSnQtf1%3ASLfMx%3Dj9gxR0ipe01dPr1kh3EtAARMRt%3A7FVbN5vNqIi2sF8pS8mzvcJtIp9YFZpL23iQtVmxs1T%3AUkEuuiRBvEB%3DzezP7Y2TztTNaLi62Vb4IGS26wXnZH3xUI8XNc8t.pdf
university_website,university_page,primary,formal,"Kotlin, JVM without the ceremony",Universidad de Valencia,Spain,,,,0.8,https://www.uv.es/uvweb/master-web-technology-cloud-computing-mobile-applications/en/news/kotlin-jvm-ceremony-1285923370770/Novetat.html?id=1286074592973
university_website,university_page,primary,formal,Faculty Virtual Rooms - KDU Library,Kotelawala Defence University,Sri Lanka,,,,0.8,https://library.kdu.ac.lk/virtual-reading-room-category.php?department=69
university_website,university_page,primary,formal,Ulf Benjaminsson - Uppsala University,Uppsala University,Sweden,,,,0.8,https://www.uu.se/en/contact-and-organisation/staff?query=N12-2450
university_website,university_page,primary,formal,app/src · master · Loris Svante Chris Agnolini / OpenWeatherApp ...,University of Geneva,Switzerland,,,,0.8,https://gitlab.unige.ch/Loris.Agnolini/openweatherapp-kotlin/-/tree/master/app/src?ref_type=heads
university_website,university_page,primary,formal,[PDF] BFH Study Offer in English - Bern University of Applied Sciences,BFH - Bern University of Applied Sciences,Switzerland,,document,,0.8,https://www.bfh.ch/dam/jcr:e7cda6b2-7bc2-4ece-b4e0-a7ce349f8f85/BFH%20Study%20Offer%20in%20English_2026%20January.pdf
